NUMERO,NURAND,NOMBRE,TEXTO,@PRIMERA,@EXTRA 1,@EXTRA 2,@EXTRA 3,@DIBUJOS
1,22,MdPe(HiPn)-X-LdPd,Eme de madera con forma de peine y con textura punzante aplicada con hierro. Sin maza. Apoyado en pedestal de ladrillo.,E:\MMMMMMMM\PRIMERAS\emes1.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes2.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes3.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes4.jpg,E:\MMMMMMMM\DIBUJOS\1.gif
2,38,HiMlLi-HiCyLi-HiCz,Eme de hierro con forma de media luna y con textura lisa. Maza de hierro con forma de cilindro y con textura lisa. Apoyado en cruz de hierro.,E:\MMMMMMMM\PRIMERAS\emes2.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes6.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes7.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes8.jpg,E:\MMMMMMMM\DIBUJOS\2.png
3,63,MdAg(HiPn)-MdGrtRg-Cnt,Eme de madera con forma de agujero y con textura punzante aplicada con hierro. Maza de madera con forma de garrote y con textura rugosa. Apoyado en base continua de madera.,E:\MMMMMMMM\PRIMERAS\emes3.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes10.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes11.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes12.jpg,E:\MMMMMMMM\DIBUJOS\3.gif
4,34,LjCnoAs-LjCnoAs-LjPd,Eme de lija con forma de cono y con textura áspera. Maza de lija con forma de cono y con textura áspera. Apoyado en pedestal de lija.,E:\MMMMMMMM\PRIMERAS\emes4.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes13.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes14.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes15.jpg,E:\MMMMMMMM\DIBUJOS\4.png
5,68,EpPlnPo-EpAmPo-Hi3Do,Eme de esponja con forma plana y con textura porosa. Maza de esponja con forma amorfa y con textura porosa. Apoyado en 3 patas en dolmen de hierro.,E:\MMMMMMMM\PRIMERAS\emes5.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes16.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes17.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes18.jpg,E:\MMMMMMMM\DIBUJOS\5.png
6,31,BtVsLi-X-Bt8Rd,Eme de botella con forma de vaso y con textura lisa. Sin maza. Apoyado en 8 patas radiales de botella.,E:\MMMMMMMM\PRIMERAS\emes6.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes19.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes21.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes22.jpg,E:\MMMMMMMM\DIBUJOS\6.png
7,51,AlCnLi-AlTbLi-AlAr,Eme de aluminio con forma de canal y con textura lisa. Maza de aluminio con forma de tubo y con textura lisa. Apoyado en arco de aluminio.,E:\MMMMMMMM\PRIMERAS\emes7.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes23.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes27.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes24.jpg,E:\MMMMMMMM\DIBUJOS\7.png
8,17,PxMlGr-PxCyGr-Cnt,Eme de porex con forma de media luna y con textura grumosa. Maza de porex con forma de cilindro y con textura grumosa. Apoyado en base continua de porex.,E:\MMMMMMMM\PRIMERAS\emes8.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes28.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes29.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes30.jpg,E:\MMMMMMMM\DIBUJOS\8.png
9,75,HiCcLi-X-Hi2Do,Eme de hierro con forma cóncava y con textura lisa. Sin maza. Apoyado en 2 patas en dolmen de hierro.,E:\MMMMMMMM\PRIMERAS\emes9.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes32.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes33.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes34.jpg,E:\MMMMMMMM\DIBUJOS\9.gif
10,83,EaCnoEt-X-Cnt,Eme de espuma alta densidad con forma de cono y con textura estriada. Sin maza. Apoyado en base continua de espuma alta densidad.,E:\MMMMMMMM\PRIMERAS\emes10.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes37.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes39.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes36.jpg,E:\MMMMMMMM\DIBUJOS\10.gif
11,101,BdPlnLi-AlCyEt-Md4Do,Eme de baldosa con forma plana y con textura lisa. Maza de aluminio con forma de cilindro y con textura estriada. Apoyado en 4 patas en dolmen de madera.,E:\MMMMMMMM\PRIMERAS\emes11.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes41.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes45.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes43.jpg,E:\MMMMMMMM\DIBUJOS\11.png
12,36,CtCcRg-X-CtPd,Eme de cartón con forma cóncava y con textura rugosa. Sin maza. Apoyado en pedestal de cartón.,E:\MMMMMMMM\PRIMERAS\emes12.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes46.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes47.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes48.jpg,E:\MMMMMMMM\DIBUJOS\12.png
13,84,PvMl(LjAs)-PvCyLi-MdPd,Eme de pvc con forma de media luna y con textura áspera aplicada con lija. Maza de pvc con forma de cilindro y con textura lisa. Apoyado en pedestal de madera.,E:\MMMMMMMM\PRIMERAS\emes13.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes51.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes52.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes55.jpg,E:\MMMMMMMM\DIBUJOS\13.gif
14,30,EbHdPo-X-Md2Do,Eme de espuma blanda con forma de hendidura y con textura porosa. Sin maza. Apoyado en 2 patas en dolmen de madera.,E:\MMMMMMMM\PRIMERAS\emes14.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes59.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes57.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes56.jpg,E:\MMMMMMMM\DIBUJOS\14.png
15,6,CtCcRg-X-Md4Fs,Eme de cartón con forma cóncava y con textura rugosa. Sin maza. Apoyado en 4 patas fasciculadas de madera.,E:\MMMMMMMM\PRIMERAS\emes15.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes61.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes63.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes64.jpg,E:\MMMMMMMM\DIBUJOS\15.png
16,85,MdPln(HiPn)-X-Md2Do,Eme de madera con forma plana y con textura punzante aplicada con hierro. Sin maza. Apoyado en 2 patas en dolmen de madera.,E:\MMMMMMMM\PRIMERAS\emes16.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes66.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes68.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes65.jpg,E:\MMMMMMMM\DIBUJOS\16.png
17,55,BtAg(AlAp)-X-Bt4Ra,Eme de botella con forma de agujero y con textura ampollada aplicada con aluminio. Sin maza. Apoyado en 4 patas radiales de botella.,E:\MMMMMMMM\PRIMERAS\emes17.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes70.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes71.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes72.jpg,E:\MMMMMMMM\DIBUJOS\17.png
18,47,MdPln(HiSr)-Md(HiSr)-Md2Do,Eme de madera con forma plana y con textura serrada aplicada con hierro. Maza de madera con forma plana y con textura serrada aplicada con hierro. Apoyado en 2 patas en dolmen de madera.,E:\MMMMMMMM\PRIMERAS\emes18.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes73.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes75.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes74.jpg,E:\MMMMMMMM\DIBUJOS\18.png
19,104,LjCnoAs-LjCnoAs-CtPd,Eme de lija con forma de cono y con textura áspera. Maza de lija con forma de cono y con textura áspera. Apoyado en pedestal de cartón.,E:\MMMMMMMM\PRIMERAS\emes19.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes81.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes80.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes78.jpg,E:\MMMMMMMM\DIBUJOS\19.png
